,Precision Score,Recall Score,Accuracy Score,F1 Score,Roc_Auc_Score
Logistic Regression,0.859682383355903,0.8567292356766041,0.8584468163415532,0.8582032690180657,0.8584468163415532
Random Forest,0.9249377363711835,0.9841491841491842,0.9521408416145258,0.9536252214125227,0.952140841614526
Gradient Boosting,0.9951619997067879,0.9993375046006625,0.9972396025027604,0.9972453814228525,0.9972396025027603
